{'core': 6517985282, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 9, 'nodes': 24}
{'core': 6577226496, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 10, 'nodes': 10}
{'core': 17216572544, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 9, 'nodes': 40}
{'core': 17389586576, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 9, 'nodes': 69}
{'core': 38860751105, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 16, 'nodes': 343}
{'core': 6484395138, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 6, 'nodes': 22}
{'core': 6511658128, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 6, 'nodes': 79}
{'core': 6577717904, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 6, 'nodes': 178}
{'core': 38723948800, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 14, 'nodes': 48}
{'core': 38797345284, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 7, 'nodes': 57}
{'core': 1345388545, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 8, 'nodes': 46}
{'core': 1350568032, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 3, 'nodes': 11}
{'core': 1377894434, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 14, 'nodes': 49}
{'core': 17183018112, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 3, 'nodes': 12}
{'core': 17183020160, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 8, 'nodes': 78}
{'core': 17183047700, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 8, 'nodes': 70}
{'core': 38672171264, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 16, 'nodes': 69}
{'core': 38724075784, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 18, 'nodes': 18}
{'core': 39193678978, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 20, 'nodes': 174}
{'core': 1074462753, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 2, 'nodes': 2}
{'core': 1092780065, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 4, 'nodes': 35}
{'core': 1279330306, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 10, 'nodes': 138}
{'core': 1342373952, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 1, 'nodes': 6}
{'core': 1342767137, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 2, 'nodes': 2}
{'core': 1342900288, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 4, 'nodes': 4}
{'core': 1378942977, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 10, 'nodes': 76}
{'core': 6443139328, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 12, 'nodes': 30}
{'core': 6585090564, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 6, 'nodes': 27}
{'core': 17221845600, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 9, 'nodes': 75}
{'core': 38659425544, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 10, 'nodes': 68}
{'core': 38672171009, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 6, 'nodes': 56}
{'core': 38723944705, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 16, 'nodes': 30}
{'core': 38730240010, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 18, 'nodes': 175}
{'core': 38788956676, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 4, 'nodes': 9}
{'core': 38797320322, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 8, 'nodes': 73}
{'core': 38925242632, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 6, 'nodes': 31}
{'core': 51682250764, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 20, 'nodes': 621}
{'core': 111937732865, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 20, 'nodes': 146}
{'core': 6577225985, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 14, 'nodes': 14}
{'core': 39196303368, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 21, 'nodes': 60}
{'core': 1093730432, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 7, 'nodes': 42}
{'core': 1342726400, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 7, 'nodes': 7}
{'core': 1377894433, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 14, 'nodes': 14}
{'core': 6585057812, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 10, 'nodes': 37}
{'core': 38856069130, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 16, 'nodes': 740}
{'core': 1342726148, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 2, 'nodes': 21}
{'core': 1343293504, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 5, 'nodes': 5}
{'core': 38797320202, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 19, 'nodes': 73}
{'core': 51810275336, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 12, 'nodes': 28}
{'core': 1141522689, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 12, 'nodes': 12}
{'core': 1143146624, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 9, 'nodes': 9}
{'core': 1344342050, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 12, 'nodes': 12}
{'core': 1345325060, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 4, 'nodes': 18}
{'core': 1384120416, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 1, 'nodes': 11}
{'core': 38679908354, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 8, 'nodes': 61}
{'core': 38726009866, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 12, 'nodes': 12}
{'core': 38925377800, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 18, 'nodes': 300}
{'core': 39193710604, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 20, 'nodes': 373}
{'core': 111744664586, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 32, 'nodes': 17734}
{'core': 284812247073, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 18, 'nodes': 394}
{'core': 1074858052, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 3, 'nodes': 29}
{'core': 1078001760, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 3, 'nodes': 12}
{'core': 1275136130, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 6, 'nodes': 6}
{'core': 6510117632, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 16, 'nodes': 89}
{'core': 6577750036, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 14, 'nodes': 194}
{'core': 6585090065, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 24, 'nodes': 56}
{'core': 38864425090, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 22, 'nodes': 352}
{'core': 1074413825, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 8, 'nodes': 13}
{'core': 1090682913, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 3, 'nodes': 23}
{'core': 1343226436, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 1, 'nodes': 1}
{'core': 6510248192, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 36, 'nodes': 36}
{'core': 6517949584, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 16, 'nodes': 104}
{'core': 6585057424, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 1, 'nodes': 6}
{'core': 6585094148, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 20, 'nodes': 92}
{'core': 38656808066, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 16, 'nodes': 126}
{'core': 38730236424, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 22, 'nodes': 81}
{'core': 38864457736, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 32, 'nodes': 1017}
{'core': 39191609860, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 21, 'nodes': 21}
{'core': 1342375968, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 4, 'nodes': 4}
{'core': 1375799330, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 4, 'nodes': 46}
{'core': 1384144898, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 12, 'nodes': 75}
{'core': 39210487810, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 29, 'nodes': 392}
{'core': 1212219425, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 36, 'nodes': 56}
{'core': 1344340001, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 9, 'nodes': 9}
{'core': 1350574660, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 6, 'nodes': 6}
{'core': 6484395010, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 1, 'nodes': 1}
{'core': 1076035712, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 6, 'nodes': 14}
{'core': 1076037664, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 4, 'nodes': 4}
{'core': 1076037760, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 6, 'nodes': 6}
{'core': 1143015554, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 10, 'nodes': 10}
