tag	ts	p	i	upload	trim	node	compact_bytes	compact_gz_sha256
bd75fa872316f894	2026-09-07T05:11:31Z	3	2012	-	TRIM-FAIL	i-01f0d952483d8f066	0	-
be77d80a79a0dce6	2026-09-08T21:14:03Z	2	2325	UPLOAD-FAIL	VERIFIED	i-01f0d952483d8f066	26791390422	0a3f89c10a67fcbfdc2641de229bff6ae26e74ec094437b0481389065e0bce3a
cb5e06cfdd612333	2026-09-06T19:33:27Z	0	694	-	TRIM-FAIL	i-0ccf0dc6a398156d8	0	-
d67d8618bf933b97	2026-09-08T00:01:55Z	1	2990	UPLOAD-FAIL	VERIFIED	i-01f0d952483d8f066	23065789669	48ddad509097b906d35f2bb3b27c4b7f6deebfd95274dc71a3b8e980a1b49e7c
da7a7186f65cb6c1	2026-09-06T19:53:28Z	1	3052	-	TRIM-FAIL	i-0ccf0dc6a398156d8	0	-
db60db70b43628f1	2026-09-06T12:20:39Z	2	1371	-	TRIM-FAIL	i-01f0d952483d8f066	0	-
dd2aa6a3da6eb429	2026-09-08T21:36:39Z	0	525	UPLOAD-FAIL	VERIFIED	i-0ccf0dc6a398156d8	19334151743	da6dd5ac514e33dc61ee86847de86e975f66ecd3a97e94a62f38b31699e946b3
e47297e4ea099461	2026-09-06T15:55:24Z	0	537	-	TRIM-FAIL	i-01f0d952483d8f066	0	-
e5ba40c7419eeccf	2026-09-06T19:05:10Z	1	3220	-	TRIM-FAIL	i-0ccf0dc6a398156d8	0	-
f06f0ebdc66990f1	2026-09-06T16:23:06Z	4	269	-	TRIM-FAIL	i-01f0d952483d8f066	0	-
f1649d256b67a081	2026-09-06T12:15:25Z	3	2521	-	TRIM-FAIL	i-01f0d952483d8f066	0	-
f25a68f489294d7c	2026-09-07T17:01:23Z	3	2535	UPLOAD-FAIL	VERIFIED	i-01f0d952483d8f066	22851785703	e12e6881f2fabe15216ab486a3db178914fb135ab951c7abba520a498c7a4e16
f363d5a068846aa3	2026-09-08T11:07:30Z	3	2555	UPLOAD-FAIL	VERIFIED	i-01f0d952483d8f066	20222870010	f424e85d4577cba6f9ba6faf2457c4c3fc4df7595beb719f88b8dfa451f0d5e3
