{'core': 180, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 24, 'nodes': 2376}
{'core': 25, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 11, 'nodes': 63}
{'core': 190, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 18, 'nodes': 491}
{'core': 209, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 25, 'nodes': 1243}
{'core': 7, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 16, 'nodes': 202}
{'core': 28, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 64, 'nodes': 1819}
{'core': 39, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 64, 'nodes': 2014}
{'core': 86, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 20, 'nodes': 120}
{'core': 161, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 20, 'nodes': 91}
{'core': 172, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 16, 'nodes': 224}
{'core': 97, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 8, 'nodes': 118}
{'core': 134, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 30, 'nodes': 209}
{'core': 194, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 20, 'nodes': 3306}
{'core': 23, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 9, 'nodes': 34}
{'core': 60, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 33, 'nodes': 162}
{'core': 71, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 8, 'nodes': 9}
{'core': 109, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 80, 'nodes': 883}
{'core': 125, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 34, 'nodes': 176}
{'core': 165, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 14, 'nodes': 76}
{'core': 137, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 27, 'nodes': 255}
{'core': 154, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 36, 'nodes': 692}
{'core': 17, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 34, 'nodes': 82}
{'core': 83, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 42, 'nodes': 328}
{'core': 101, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 40, 'nodes': 226}
{'core': 113, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 84, 'nodes': 277}
{'core': 126, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 84, 'nodes': 472}
{'core': 153, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 15, 'nodes': 227}
{'core': 191, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 49, 'nodes': 19249}
{'core': 199, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 4, 'nodes': 133}
{'core': 205, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 44, 'nodes': 1026}
{'core': 211, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 50, 'nodes': 10560}
{'core': 34, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 76, 'nodes': 797}
{'core': 178, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 8, 'nodes': 95}
{'core': 186, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 20, 'nodes': 427}
{'core': 50, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 15, 'nodes': 113}
{'core': 84, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 16, 'nodes': 32}
{'core': 185, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 3, 'nodes': 66}
{'core': 206, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 63, 'nodes': 23387}
{'core': 31, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 104, 'nodes': 164}
{'core': 77, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 33, 'nodes': 159}
{'core': 151, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 45, 'nodes': 516}
{'core': 14, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 28, 'nodes': 28}
{'core': 69, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 55, 'nodes': 293}
{'core': 88, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 45, 'nodes': 327}
{'core': 98, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 60, 'nodes': 385}
{'core': 200, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 68, 'nodes': 5019}
{'core': 202, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 30, 'nodes': 481}
{'core': 189, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 55, 'nodes': 753}
{'core': 96, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 2, 'nodes': 8}
{'core': 132, 'status': 'INDEPENDENTLY_EXHAUSTED', 'host_assignments': 55, 'nodes': 381}
